str_pm,end_pm,mid_pm,fatal,injury,pdo,total
0,0.01,0.005,0,0,0,0
0.01,0.02,0.015,0,0,0,0
0.02,0.03,0.025,0,0,0,0
0.03,0.04,0.035,0,0,0,0
0.04,0.05,0.045,0,0,0,0
0.05,0.06,0.055,0,0,0,0
0.06,0.07,0.065,0,0,0,0
0.07,0.08,0.075,0,0,0,0
0.08,0.09,0.085,0,0,0,0
0.09,0.1,0.095,0,0,0,0
0.1,0.11,0.105,0,0,1,1
0.11,0.12,0.115,0,0,1,1
0.12,0.13,0.125,0,0,0,0
0.13,0.14,0.135,0,0,0,0
0.14,0.15,0.145,0,0,0,0
0.15,0.16,0.155,0,0,0,0
0.16,0.17,0.165,0,0,0,0
0.17,0.18,0.175,0,0,0,0
0.18,0.19,0.185,0,0,0,0
0.19,0.2,0.195,0,0,0,0
0.2,0.21,0.205,0,0,0,0
0.21,0.22,0.215,0,0,0,0
0.22,0.23,0.225,0,0,0,0
0.23,0.24,0.235,0,0,0,0
0.24,0.25,0.245,0,0,0,0
0.25,0.26,0.255,0,0,0,0
0.26,0.27,0.265,0,0,0,0
0.27,0.28,0.275,0,1,0,1
0.28,0.29,0.285,0,0,2,2
0.29,0.3,0.295,0,1,1,2
0.3,0.31,0.305,0,2,0,2
0.31,0.32,0.315,0,1,1,2
0.32,0.33,0.325,0,0,1,1
0.33,0.34,0.335,0,0,0,0
0.34,0.35,0.345,0,0,1,1
0.35,0.36,0.355,0,0,1,1
0.36,0.37,0.365,0,1,3,4
0.37,0.38,0.375,0,0,0,0
0.38,0.39,0.385,0,0,0,0
0.39,0.4,0.395,0,0,0,0
0.4,0.41,0.405,0,0,0,0
0.41,0.42,0.415,0,0,0,0
0.42,0.43,0.425,0,0,1,1
0.43,0.44,0.435,0,0,1,1
0.44,0.45,0.445,0,0,1,1
0.45,0.46,0.455,0,0,0,0
0.46,0.47,0.465,0,0,0,0
0.47,0.48,0.475,0,2,3,5
0.48,0.49,0.485,0,0,1,1
0.49,0.5,0.495,0,0,0,0
0.5,0.51,0.505,0,0,3,3
0.51,0.52,0.515,0,0,0,0
0.52,0.53,0.525,0,0,1,1
0.53,0.54,0.535,0,0,0,0
0.54,0.55,0.545,0,1,0,1
0.55,0.56,0.555,0,0,1,1
0.56,0.57,0.565,0,0,0,0
0.57,0.58,0.575,0,0,0,0
0.58,0.59,0.585,0,0,0,0
0.59,0.6,0.595,0,0,0,0
0.6,0.61,0.605,0,0,0,0
0.61,0.62,0.615,0,0,2,2
0.62,0.63,0.625,0,0,1,1
0.63,0.64,0.635,0,0,0,0
0.64,0.65,0.645,0,0,0,0
0.65,0.66,0.655,0,1,4,5
0.66,0.67,0.665,0,0,1,1
0.67,0.68,0.675,0,0,0,0
0.68,0.69,0.685,0,0,0,0
0.69,0.7,0.695,0,0,0,0
0.7,0.71,0.705,0,0,1,1
0.71,0.72,0.715,0,0,1,1
0.72,0.73,0.725,0,0,0,0
0.73,0.74,0.735,0,0,0,0
0.74,0.75,0.745,0,0,0,0
0.75,0.76,0.755,0,0,0,0
0.76,0.77,0.765,0,0,0,0
0.77,0.78,0.775,0,1,0,1
0.78,0.79,0.785,0,0,0,0
0.79,0.8,0.795,0,0,0,0
0.8,0.81,0.805,0,1,2,3
